[19:02:13] [info] ENGINE: Creating window 3D Modeler (1600, 900)
[19:02:14] [info] ENGINE: GLEW Initialized
[19:02:14] [info] ENGINE: OpenGL Info:
[19:02:14] [info] ENGINE:   Vendor: Intel
[19:02:14] [info] ENGINE:   Renderer: Intel(R) RaptorLake-S Mobile Graphics Controller
[19:02:14] [info] ENGINE:   Version: 3.3.0 - Build 32.0.101.5972
[19:02:14] [info] ENGINE: OpenGL Initialized
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:14] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:15] [info] APP: Botton left: false
[19:02:16] [info] APP: Botton left: false
[19:02:16] [info] APP: Botton left: false
[19:02:16] [info] APP: Botton left: false
[19:02:16] [info] APP: Botton left: false
[19:02:16] [info] APP: Botton left: false
[19:02:16] [info] APP: Botton left: false
[19:02:16] [info] APP: Botton left: false
[19:02:16] [info] APP: Botton left: false
[19:02:16] [info] APP: Botton left: false
[19:02:16] [info] APP: Botton left: false
[19:02:16] [info] APP: Botton left: false
[19:02:16] [info] APP: Botton left: false
[19:02:16] [info] APP: Mouse button 0 was pressed!
[19:02:16] [info] APP: Botton left: true
[19:02:16] [info] APP: Botton left: true
[19:02:16] [info] APP: Botton left: true
[19:02:16] [info] APP: Botton left: true
[19:02:16] [info] APP: Botton left: true
[19:02:16] [info] APP: Botton left: true
[19:02:16] [info] APP: Botton left: true
[19:02:16] [info] APP: Botton left: true
[19:02:16] [info] APP: Botton left: true
[19:02:16] [info] APP: Botton left: true
[19:02:16] [info] APP: Botton left: true
